kode,nama,uraian,id_user
MZ.fd-J72,Feedback,"Fieri, difficilem quandam temperantiam postulant in eo, quod.",10
CW.lp-O34,Claims,Ad melius vivendum nec ad.,2
WO.ku-G87,Resolutions,Incididunt ut labore et dolore magnam.,6
QO.oj-H97,Policies,"Dolorem saepe perpetiuntur, ne, si amicitiam propter nostram voluptatem expetendam putemus.",1
TI.pr-M97,Resolutions,"Iis quos probamus, eisque nostrum iudicium et nostrum scribendi ordinem adiungimus, quid.",5
TJ.ih-Q70,Guidelines,"Ad maiora enim quaedam nos natura genuit et conformavit, ut mihi quidem videtur. Ac.",2
VC.ob-B26,Resolutions,"Mihi ea facultas, ut id meo arbitratu facerem, ante hoc.",6
NY.pk-P59,Inquiries,"Nulla praeterea neque praesenti nec expectata voluptate, quid eo miserius dici.",10
UA.be-W75,Inquiries,"Ultimum bonorum, quod omnium philosophorum sententia tale debet esse, ut ad Orestem.",6
LG.vq-R02,Regulations,"Et dolorem? Sunt autem quidam e nostris, qui haec subtilius velint.",1
UF.mt-G05,Disputes,"A nobis, aequi esse debent.",4
WX.yv-K08,Claims,Etiam approbantibus nobis. Sic enim ab Epicuro sapiens semper beatus inducitur: finitas habet cupiditates.,10
YW.nv-N19,Policies,Oblivione obruamus et secunda iucunde ac suaviter meminerimus. Sed.,1
OK.wd-Z24,Regulations,"Percipitur omni dolore careret, non modo non impediri rationem amicitiae, si.",1
XA.rq-Q74,Disputes,"Videbitur, transferam, et maxime ab iis, quos ego.",9
DZ.au-C70,Claims,"Dolores ita paratus est, ut necessariae.",10
XA.ku-V14,Policies,"Possimus, omnis voluptas assumenda est, omnis dolor repellendus. Temporibus.",6
AX.zw-M44,Resolutions,"Voluptas. Ut enim, cum cibo et potione fames sitisque depulsa est.",6
PE.mq-X12,Announcements,"In musicis, geometria, numeris, astris contereret, quae et splendide dicta sint.",4
IJ.vn-D31,Claims,"Aut Antiopam Pacuvii spernat aut reiciat, quod se isdem Euripidis fabulis.",8
GP.lh-C44,Suggestions,"Partus ancillae sitne in fructu habendus, disseretur.",5
IN.et-V18,Contracts,"Sed ipsius honestatis decore laudandis, id totum evertitur eo.",4
PD.dw-P24,Orders,"Sine dubio praeclara sunt, fecerint.",6
FF.kq-U69,Claims,"Ferre doceat iniurias et omnis monstret vias, quae ad amicos pertinerent, negarent esse.",6
PP.eb-T83,Disputes,"Facillimis ordiamur, prima veniat in medium Epicuri.",10
VJ.tt-B82,Announcements,Iudicio ab eadem illa atomorum.,9
TI.qf-W71,Guidelines,"Vita sine amicis insidiarum et metus plena sit, ratio ipsa monet amicitias.",7
XW.iu-E87,Requests,"Utilitas omnisque puerilis est delectatio, aut.",1
XJ.mn-O88,Complaints,"Dividendo ac partiendo docet, non quo ignorare vos arbitrer, sed ut.",5
EY.eb-K27,Contracts,Naturam ipsam movet et cum iucunditate quadam percipitur.,2
NX.jv-A42,Recommendations,"Eisque nostrum iudicium et nostrum scribendi ordinem adiungimus, quid habent, cur Graeca anteponant.",7
SM.ua-K49,Guidelines,"Metuamus. Iam illud quidem physici, credere.",8
NI.wy-J91,Claims,"Graecis? Nam si dicent ab illis has res esse tractatas, ne ipsos quidem Graecos.",10
FW.ro-S98,Contracts,"Dignissimos ducimus, qui blanditiis praesentium voluptatum deleniti atque corrupti, quos.",4
NT.jz-H24,Contracts,"Sit, sed stare etiam oportet in eo, quod semel admissum coerceri reprimique.",10
UO.zn-F05,Policies,"Graecis isdem de rebus alia ratione compositis, quid est, quod nullam eruditionem esse duxit.",6
NN.df-E70,Feedback,Aut angere. Praeterea et appetendi et refugiendi et omnino rerum gerendarum initia.,7
QZ.ya-T65,Suggestions,"Maiores esse et muniti videntur, deorum tamen horrent easque.",1
UV.fa-W01,Requests,"Quodsi Graeci leguntur a Graecis isdem de rebus alia ratione compositis, quid est.",2
FN.xd-F10,Financial,"Naturam aut contra sit, a natura ipsa.",5
OL.ub-R61,Announcements,"Potius inflammat, ut coercendi magis quam dedocendi esse videantur.",10
ND.yz-E93,Financial,"Nec impediente nec inpendente, quem.",5
LR.ts-X39,Resolutions,"Sensibus, sed maximam voluptatem illam habemus, quae percipitur omni dolore careret, non modo numquam.",3
PF.kb-A12,Notifications,"Verum, opinor, scriptorem tamen, ut legendus sit. Rudem enim esse.",5
IC.wo-C93,Claims,"Acuti, qui verentur ne, si amicitiam propter nostram voluptatem expetendam.",2
PH.pf-H41,Announcements,"Animadversionem atque admonitionem. Altera occulta quaedam et horrida, de malis Graecis Latine scripta.",4
IX.ek-Z66,Complaints,"Non inhumanus, qui novum vicinum non vult 'fodere aut arare aut aliquid ferre denique.",7
OV.zl-R50,Policies,"Et nostrum scribendi ordinem adiungimus, quid habent, cur Graeca.",10
PZ.kf-C54,Financial,"Si omnia deorsus e regione ferrentur et, ut modo docui, cognitionis regula et iudicio.",3
ZA.hv-H63,Procedures,Quod ipsum nullam ad aliam rem.,5
WS.lz-T73,Complaints,Voluptatem. Quaeque de virtutibus dicta.,5
ZY.kr-G62,Disputes,"Possunt, conficiuntur et angore et metu maximeque cruciantur.",8
EL.yo-C49,Policies,"Laudatur, industria, ne fortitudo quidem, sed ista sequimur, ut sine cura metuque vivamus animumque.",3
UP.om-O49,Feedback,"Me prohiberet Epicureum esse, si probarem.",6
QL.cr-B76,Guidelines,"Accedit, ut neque divinum numen horreat.",3
CC.xn-F80,Regulations,Solum amputata circumcisaque inanitate omni et errore naturae finibus contentus sine.,4
FO.pq-W22,Orders,"Exitum potest, nisi derigatur ad voluptatem, voluptas autem est sola, quae nos a libidinum.",7
YK.fg-L05,Orders,"Placeat, facere possimus, omnis voluptas.",10
XZ.qn-W06,Requests,"Ante collegi, abest plurimum et, cum stultorum vitam cum sua.",2
YM.dr-Q52,Regulations,In his rebus instructus semper est in quo admirer.,2
XO.cc-H44,Policies,"Molestias accessio potest fieri, quanta ad augendas, cum conscientia.",3
QU.ab-Q03,Resolutions,"Modo numquam nocet cuiquam, sed contra semper afficit cum.",9
UO.sj-P12,Notifications,Animi aut voluptatem aut molestiam plus aut ad beatam aut ad naturam.,4
MC.da-A47,Procedures,"Instituendarum voluntates fieri propter voluptatem; cum autem usus progrediens familiaritatem effecerit, tum.",10
EE.xi-Q60,Recommendations,"Notae sunt. Atque eos, quos.",3
QJ.nt-L40,Orders,Iam in altera philosophiae parte. Quae.,8
NE.qr-K98,Orders,"Earum rerum hic tenetur a sapiente delectus, ut aut reiciendis voluptatibus maiores alias consequatur.",6
MN.ps-D84,Orders,Oratio nostra omnem sibi fidem sensibus.,4
FW.pz-Q63,Disputes,Ratione intellegi posse et voluptatem pleniorem.,4
UQ.gs-B26,Procedures,"Ut ratione et via procedat oratio. Quaerimus igitur, quid sit extremum et ultimum.",3
BU.ce-G92,Announcements,Culpa qui officia deserunt mollit anim id est vel summum bonorum.,3
XW.mv-P83,Complaints,". .' nihilo minus legimus quam hoc idem Graecum, quae autem tanta ex improbis.",2
XC.zb-K71,Requests,Accurate disserendum et rationibus conquisitis de voluptate et dolore disputandum.,5
RE.br-N78,Financial,"Si essent vera, nihil afferrent, quo iucundius.",7
ID.qn-O88,Feedback,Liberatione et vacuitate omnis molestiae gaudemus.,6
CH.va-M23,Financial,"Vult, mihi quidem nulli satis eruditi videntur, quibus nostra ignota.",10
GZ.oi-B13,Legal,"Igitur Epicuri non probo, tum illud in primis, quod.",6
JL.nv-F99,Procedures,"Tamen id, cuius causa haec finxerat, assecutus est. Nam.",1
VG.fq-I68,Legal,Cupiditatibusque detractis et omnium falsarum opinionum temeritate derepta.,1
BI.fs-W09,Recommendations,"Sensibus, sed maximam voluptatem illam habemus, quae percipitur omni dolore.",5
MK.bn-O09,Complaints,"Arguerent, causam apud se dicere.",10
XD.pd-Q09,Regulations,"Apud Veserim propter voluptatem; quod vero securi percussit filium, privavisse se.",7
YR.zb-T25,Complaints,"Cognitioque rerum, quid poetarum evolutio, quid tanta tot versuum memoria voluptatis affert? Nec mihi.",1
JU.yl-O67,Announcements,"Sum, debeo profecto, quantumcumque possum, in.",8
YD.sx-M37,Announcements,"Ab illo, recta et honesta quae.",8
HP.zw-X63,Orders,"Putarent, sed locupletiorem etiam esse quam Graecam. Quando enim.",2
JI.rc-C03,Inquiries,Physicis et fortitudo sumitur contra mortis timorem.,2
OH.ty-F41,Legal,Haec et quae fugiamus refert omnia. Quod quamquam.,2
SG.fd-G19,Claims,Cognitionem divina illa ingenia transferrem. Sed id neque feci adhuc.,2
WY.fn-X07,Suggestions,Numquam potest. Praeterea bona praeterita grata recordatione renovata delectant. Est autem situm in nobis.,6
DZ.bz-P08,Resolutions,"Huc possit, quod melius sit.",7
AT.pq-P72,Requests,Ratio reperietur. Nam neque laborum perfunctio neque perpessio dolorum.,5
WY.nt-N99,Orders,Nostri a nostris de amicitia.,7
MS.gm-V09,Recommendations,"Referuntur, nec praeterea est res ulla, quae sua natura aut sollicitare.",8
MQ.dj-A08,Policies,"Mnesarchum, Panaetium, multos alios in primisque familiarem nostrum Posidonium. Quid? Theophrastus mediocriterne delectat, cum.",4
BG.ru-J33,Recommendations,"Enim, quae in rebus aut expetendis aut.",9
TL.xm-J45,Resolutions,"De re cum sit inter doctissimos summa dissensio, quis alienum putet eius esse dignitatis.",5
HS.ci-K59,Feedback,"Et doloribus -- itaque concedo, quod.",6
TK.yp-X27,Guidelines,"Ferantur, deinde eadem illa atomorum, in quo a nobis.",4
TP.rt-N22,Financial,"Geometriaque perfecto, huic pedalis fortasse.",10
